CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,1.5,0.5,1.5,0.5,0.5,4.5,0.5,8
0.5,1.5,3.5,2.5,7.5,5.5,0.5,2.5,9
3.5,2.5,7.5,5.5,0.5,2.5,6.5,2.5,10
0.5,0.5,3.5,2.5,7.5,3.5,5.5,5.5,11
0.5,2.5,2.5,3.5,1.5,2.5,8.5,1.5,7
0.5,3.5,1.5,3.5,1.5,5.5,6.5,4.5,10
1.5,3.5,1.5,5.5,6.5,4.5,7.5,5.5,11
0.5,3.5,0.5,4.5,3.5,3.5,7.5,2.5,21
1.5,4.5,4.5,4.5,8.5,4.5,8.5,5.5,10
0.5,2.5,1.5,1.5,3.5,2.5,7.5,4.5,15
0.5,3.5,5.5,3.5,8.5,3.5,3.5,2.5,23
5.5,3.5,8.5,3.5,3.5,2.5,8.5,2.5,24
0.5,3.5,4.5,3.5,8.5,2.5,8.5,0.5,4
0.5,2.5,2.5,2.5,4.5,1.5,8.5,2.5,4
0.5,4.5,2.5,2.5,8.5,3.5,8.5,2.5,12
2.5,2.5,8.5,3.5,8.5,2.5,5.5,4.5,13
1.5,4.5,2.5,1.5,4.5,1.5,7.5,1.5,21
1.5,4.5,5.5,3.5,8.5,3.5,7.5,3.5,4
5.5,3.5,8.5,3.5,7.5,3.5,4.5,3.5,5
8.5,3.5,7.5,3.5,4.5,3.5,8.5,0.5,6
0.5,3.5,3.5,3.5,4.5,2.5,8.5,3.5,7
3.5,3.5,4.5,2.5,8.5,3.5,8.5,4.5,8
0.5,2.5,3.5,3.5,2.5,5.5,7.5,1.5,8
1.5,2.5,3.5,2.5,6.5,3.5,7.5,3.5,14
3.5,2.5,6.5,3.5,7.5,3.5,7.5,5.5,15
1.5,3.5,0.5,5.5,4.5,4.5,6.5,4.5,1
0.5,3.5,3.5,3.5,5.5,2.5,4.5,2.5,3
0.5,4.5,3.5,4.5,7.5,3.5,8.5,1.5,11
2.5,3.5,4.5,3.5,8.5,2.5,7.5,4.5,5
